1778882204.0313,0000,-002,0.0080,5.39,669.74
1778882204.0392,-001,-001,0.0079,1.41,178.29
1778882204.0472,-002,-002,0.0080,1.41,176.46
1778882216.5992,0000,0001,12.5520,3.61,0.29
1778882216.6072,0003,0004,0.0080,4.24,531.81
1778882216.6152,0007,0011,0.0080,8.06,1004.59
1778882216.6233,0014,0018,0.0080,9.90,1229.94
1778882216.6313,0021,0025,0.0081,9.90,1225.76
1778882216.6392,0026,0032,0.0079,8.60,1093.16
1778882216.6473,0033,0039,0.0081,9.90,1228.81
1778882216.6553,0039,0046,0.0080,9.22,1150.98
1778882216.6633,0046,0052,0.0080,9.22,1149.51
1778882216.6712,0057,0063,0.0079,15.56,1956.99
1778882216.6792,0068,0074,0.0080,15.56,1946.77
1778882216.6872,0083,0089,0.0080,21.21,2652.63
1778882216.6952,0098,0104,0.0080,21.21,2644.12
1778882216.7033,0116,0122,0.0081,25.46,3155.69
1778882216.7115,0131,0137,0.0082,21.21,2582.87
1778882216.7193,0153,0156,0.0078,29.07,3739.42
1778882216.7272,0172,0171,0.0079,24.21,3068.77
1778882216.7352,0190,0187,0.0080,24.08,2995.08
1778882216.7433,0205,0202,0.0080,21.21,2640.51
1778882216.7512,0219,0213,0.0079,17.80,2247.83
1778882216.7592,0230,0224,0.0080,15.56,1940.87
1778882216.7672,0241,0235,0.0080,15.56,1938.04
1778882216.7752,0245,0242,0.0080,8.06,1012.14
1778882216.7832,0250,0248,0.0080,7.81,972.73
1778882216.7912,0252,0255,0.0080,7.28,909.92
1778882216.7992,0257,0262,0.0080,8.60,1080.04
1778882216.8073,0264,0271,0.0081,11.40,1414.03
1778882216.8152,0276,0289,0.0079,21.63,2727.04
1778882216.8232,0288,0308,0.0080,22.47,2797.64
1778882216.8312,0304,0330,0.0080,27.20,3395.96
1778882216.8392,0320,0352,0.0080,27.20,3418.65
1778882216.8472,0335,0374,0.0081,26.63,3307.14
1778882216.8552,0351,0392,0.0080,24.08,3012.14
1778882216.8633,0361,0403,0.0080,14.87,1853.75
1778882216.8712,0368,0410,0.0080,9.90,1243.64
1778882216.8792,0370,0414,0.0080,4.47,558.43
1778882216.8872,0373,0418,0.0080,5.00,626.41
1778882216.8952,0374,0420,0.0080,2.24,279.23
1778882216.9513,0376,0421,0.0561,2.24,39.86
1778882216.9672,0376,0423,0.0159,2.00,125.74
1778882216.9752,0378,0425,0.0079,2.83,356.22
1778882216.9832,0378,0427,0.0081,2.00,247.77
1778882216.9992,0380,0434,0.0080,6.32,794.68
1778882217.0072,0380,0438,0.0081,4.00,496.79
1778882217.0153,0382,0445,0.0081,7.28,903.24
1778882217.0233,0386,0451,0.0080,7.21,902.77
1778882217.0312,0391,0458,0.0079,8.60,1082.11
1778882217.0392,0393,0462,0.0080,4.47,561.50
1778882217.0473,0397,0469,0.0081,8.06,995.28
1778882217.0553,0399,0473,0.0080,4.47,559.96
1778882217.0632,0404,0477,0.0080,6.40,804.86
1778882217.0712,0408,0482,0.0080,6.40,803.66
1778882217.0792,0412,0484,0.0081,4.47,555.20
1778882217.0872,0416,0488,0.0080,5.66,709.14
1778882217.0953,0420,0490,0.0080,4.47,556.19
1778882217.1032,0425,0494,0.0080,6.40,802.12
1778882217.1112,0432,0501,0.0080,9.90,1237.49
1778882217.1193,0438,0506,0.0081,7.81,966.13
1778882217.1272,0445,0510,0.0079,8.06,1025.06
1778882217.1352,0449,0514,0.0080,5.66,703.30
1778882217.1432,0454,0519,0.0080,7.07,882.40
1778882217.1512,0458,0523,0.0080,5.66,707.85
1778882217.1592,0460,0525,0.0080,2.83,354.14
1778882221.2952,0461,0526,4.1360,1.41,0.34
1778882225.4473,0463,0526,4.1521,2.00,0.48
1778882225.9352,0463,0520,0.0080,6.00,748.52
1778882225.9431,0463,0508,0.0079,12.00,1513.42
1778882225.9512,0463,0495,0.0080,13.00,1620.00
1778882225.9592,0463,0483,0.0080,12.00,1504.46
1778882225.9672,0463,0463,0.0080,20.00,2485.96
1778882225.9752,0461,0442,0.0080,21.10,2638.72
1778882225.9832,0458,0418,0.0080,24.19,3022.66
1778882225.9912,0455,0389,0.0080,29.15,3636.16
1778882225.9992,0455,0361,0.0080,28.00,3508.20
1778882226.0071,0452,0333,0.0080,28.16,3542.03
1778882226.0153,0448,0305,0.0082,28.28,3468.69
1778882226.0232,0448,0281,0.0079,24.00,3029.84
1778882226.0312,0442,0256,0.0080,25.71,3212.92
1778882226.0392,0442,0236,0.0080,20.00,2510.21
1778882226.0472,0442,0219,0.0080,17.00,2127.63
1778882226.0552,0442,0207,0.0080,12.00,1499.04
1778882226.0632,0442,0195,0.0080,12.00,1493.21
1778882226.0712,0442,0182,0.0080,13.00,1629.10
1778882226.0792,0442,0170,0.0080,12.00,1499.30
1778882226.0872,0442,0157,0.0080,13.00,1630.46
